[2025-11-29 13:05:38] [INFO    ] discord.client: logging in using static token
[2025-11-29 13:05:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-29 13:05:39] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-29 13:05:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1436967532518182922', 'username': 'Diamond Nations Security', 'avatar': 'ecbd2c6b676538548b98bbb580c8dc1d', 'discriminator': '6318', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'b3d9c45c82f2b805437cb8c0f56c101d', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-29 13:05:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-29 13:05:40] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-29 13:05:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1436967532518182922', 'name': 'Diamond Nations Security', 'icon': 'ecbd2c6b676538548b98bbb580c8dc1d', 'description': '', 'type': None, 'bot': {'id': '1436967532518182922', 'username': 'Diamond Nations Security', 'avatar': 'ecbd2c6b676538548b98bbb580c8dc1d', 'discriminator': '6318', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'b3d9c45c82f2b805437cb8c0f56c101d', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '87b2ea758b5d4b3a26e86d21a751e19b26cdcd6521ca11b62bd6d6b1955dd4a8', 'flags': 27828224, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1413433249518190622', 'username': 'niko_look.02.', 'avatar': '915db879c45cdf163a34147694bcde92', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 0, 'global_name': 'Niko_Look', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '919656909563371600', 'identity_enabled': True, 'tag': 'ATC', 'badge': 'c558ea0c7adb9c6e71f1883237684fb0'}, 'primary_guild': {'identity_guild_id': '919656909563371600', 'identity_enabled': True, 'tag': 'ATC', 'badge': 'c558ea0c7adb9c6e71f1883237684fb0'}}, 'approximate_guild_count': 8, 'approximate_user_install_count': 2, 'approximate_user_authorization_count': 2, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 6, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-29 13:05:41] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-29 13:05:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-x4pr",{"micros":0.0}]']}}
[2025-11-29 13:05:41] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-29 13:05:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-29 13:05:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Diamond Nations Security', 'primary_guild': None, 'mfa_enabled': True, 'id': '1436967532518182922', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6318', 'clan': None, 'bot': True, 'avatar': 'ecbd2c6b676538548b98bbb580c8dc1d'}, 'session_type': 'normal', 'session_id': '9f2523be29e4470c124af4870d4a38af', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1355352483953774633'}, {'unavailable': True, 'id': '1378414788555575316'}, {'unavailable': True, 'id': '1397020602455556176'}, {'unavailable': True, 'id': '1423779374141804626'}, {'unavailable': True, 'id': '1436385467716341862'}, {'unavailable': True, 'id': '1444031863336206498'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['japan', 'sydney', 'hongkong', 'singapore', 'santa-clara'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1436967532518182922', 'flags': 27828224}, '_trace': ['["gateway-prd-arm-us-east1-d-x4pr",{"micros":161507,"calls":["id_created",{"micros":522,"calls":[]},"session_lookup_time",{"micros":270,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-90",{"micros":160447,"calls":["start_session",{"micros":136450,"calls":["discord-api-rpc-55ddb4c47b-gsgnh",{"micros":54777,"calls":["get_user",{"micros":8974},"get_guilds",{"micros":5907},"send_scheduled_deletion_message",{"micros":26},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":49022},"apex_experiments",{"micros":16309},"user_activities",{"micros":5},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":30,"calls":[]},"presence_started",{"micros":11403,"calls":[]},"guilds_started",{"micros":133,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12408,"calls":[]},"connect_finished",{"micros":12415,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-11-29 13:05:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 13:05:41] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9f2523be29e4470c124af4870d4a38af).
[2025-11-29 13:05:41] [DEBUG   ] discord.client: Dispatching event connect
